id,category,question,answer,business_type,monthly_income,monthly_expense,profit,profit_margin,date,network,location,risk_level
386,Mobile Money Fraud,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,General,,20853.0,300.0,,2026-01-05,MTN,Tamale,High
387,Profit Margin,Budget tips,Track income and expenses. Separate business and personal money.,Farmer,5000.0,,0.0,30.0,2026-01-13,MTN,Sunyani,High
388,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,2000.0,-500.0,30.0,2026-01-13,MTN,Ho,
389,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,General,,,,30.0,2026-01-05,,Takoradi,
390,Budgeting,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Trader,,9312.0,0.0,30.0,2026-01-05,AirtelTigo,Ho,Low
391,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Retail Shop,26777.0,2500.0,-500.0,25.0,2026-01-05,Telecel,Cape Coast,
392,Mobile Money Fraud,proffit margin,Profit Margin=(Profit/Revenue)*100,Farmer,26714.0,2500.0,-500.0,-1.9,2026-01-15,,,High
393,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,,300.0,6.0,2026-01-15,Telecel,Accra,
394,Mobile Money Fraud,How can I save money?,Save 10-30% of profits and keep emergency funds.,General,26956.0,,0.0,0.0,2026-01-05,MTN,Bolgatanga,Medium
395,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Food Vendor,23297.0,2000.0,300.0,25.0,,MTN,Bolgatanga,Low
396,Profit Margin,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,General,,,0.0,30.0,,MTN,Takoradi,Medium
397,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,4951.0,2500.0,2451.0,49.5,2026-01-05,Telecel,,
398,Mobile Money Fraud,Calculate profit margin,,Pharmacy,6301.0,16695.0,-10394.0,-165.0,2026-01-13,,Kumasi,Low
399,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Pharmacy,,,300.0,,2026-01-13,AirtelTigo,,High
400,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Farmer,,,,,2026-01-05,MTN,Ho,Medium
401,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,2000.0,0.0,30.0,,MTN,Kumasi,High
402,Savings,budjet help,Track income and expenses. Separate business and personal money.,Farmer,24881.0,2000.0,22881.0,30.0,2026-01-15,Telecel,Takoradi,High
403,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,2500.0,2500.0,30.0,2026-01-05,,Kumasi,High
404,Savings,Budget tips,Track income and expenses. Separate business and personal money.,Restaurant,,2500.0,,30.0,2026-01-05,MTN,Bolgatanga,High
405,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,General,5000.0,,,30.0,2026-01-15,MTN,Ho,
406,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Salon,23444.0,2000.0,-500.0,30.0,2026-01-05,MTN,Wa,
407,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Farmer,5000.0,2500.0,-500.0,-10.0,2026-01-05,MTN,,Medium
408,Profit Margin,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Farmer,5000.0,,,30.0,2026-01-05,,Takoradi,Low
409,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Bakery,14928.0,,,25.0,2026-01-05,Telecel,Kumasi,Low
410,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,20983.0,,0.0,25.0,2026-01-05,MTN,Tamale,High
411,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,5000.0,2000.0,3000.0,30.0,2026-01-05,Telecel,Ho,High
412,Budgeting,Margin example,,General,,2000.0,-500.0,25.0,2026-01-05,Telecel,,Low
413,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,2500.0,,,2026-01-15,,Tamale,High
414,Savings,Monthly budget template,Track income and expenses. Separate business and personal money.,Pharmacy,5000.0,,,,2026-01-05,Telecel,Tamale,Medium
415,Profit Margin,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Restaurant,,,0.0,30.0,2026-01-05,,Sunyani,Medium
416,Savings,Margin example,,General,5000.0,14585.0,-9585.0,30.0,2026-01-05,MTN,Ho,High
417,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Salon,,2000.0,-500.0,25.0,2026-01-05,,Takoradi,Low
418,Profit Margin,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Bakery,,2000.0,,30.0,2026-01-13,Telecel,Wa,High
419,Profit Margin,Monthly budget template,Track income and expenses. Separate business and personal money.,Trader,,20829.0,,30.0,2026-01-05,MTN,Accra,Medium
420,Savings,proffit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,,2000.0,-500.0,30.0,2026-01-05,Telecel,Kumasi,Low
421,Savings,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Trader,,,300.0,,2026-01-05,AirtelTigo,Ho,
422,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Farmer,,2000.0,0.0,30.0,,Telecel,Accra,Low
423,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,General,,2000.0,300.0,30.0,2026-01-05,,Bolgatanga,
424,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Farmer,5000.0,,300.0,6.0,,,Kumasi,High
425,Mobile Money Fraud,Emergency fund,Save 10-30% of profits and keep emergency funds.,Restaurant,5631.0,6059.0,-428.0,-7.6,2026-01-05,MTN,Cape Coast,High
426,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Food Vendor,5000.0,,0.0,25.0,2026-01-05,MTN,Bolgatanga,
427,Mobile Money Fraud,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,,0.0,0.0,2026-01-13,,Kumasi,
428,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Restaurant,,6792.0,300.0,,2026-01-05,Telecel,Wa,Low
429,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Bakery,5000.0,,300.0,30.0,2026-01-05,Telecel,Takoradi,
430,Profit Margin,budjet help,Track income and expenses. Separate business and personal money.,Boutique,23615.0,,300.0,30.0,2026-01-05,,Ho,High
431,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,,,30.0,2026-01-13,Telecel,,
432,Budgeting,proffit margin,,Retail Shop,,4387.0,0.0,,2026-01-05,AirtelTigo,Wa,High
433,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Trader,2523.0,2000.0,523.0,30.0,2026-01-05,MTN,Wa,Low
434,Budgeting,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,,,30.0,2026-01-05,Telecel,Kumasi,High
435,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,,2000.0,-500.0,,2026-01-05,,Sunyani,
436,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Bakery,5000.0,24455.0,-19455.0,-389.1,,MTN,Kumasi,Low
437,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Farmer,5000.0,,,30.0,,AirtelTigo,Accra,
438,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,2500.0,0.0,25.0,2026-01-05,MTN,Kumasi,High
439,Mobile Money Fraud,How can I save money?,Save 10-30% of profits and keep emergency funds.,Restaurant,28346.0,,-500.0,25.0,2026-01-05,,Accra,
440,Profit Margin,Monthly budget template,Track income and expenses. Separate business and personal money.,Trader,5000.0,,0.0,0.0,2026-01-15,Telecel,,Low
441,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,General,,,-500.0,25.0,2026-01-05,,,Low
442,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,,300.0,30.0,2026-01-13,MTN,Tamale,
443,Savings,Profit formula?,Profit Margin=(Profit/Revenue)*100,Farmer,10846.0,2834.0,8012.0,73.9,,,Cape Coast,High
444,Mobile Money Fraud,Daily savings,,Food Vendor,5000.0,4710.0,-500.0,-10.0,2026-01-13,,Cape Coast,High
445,Savings,proffit margin,,Pharmacy,21837.0,21668.0,169.0,0.8,2026-01-05,Telecel,Tamale,Low
446,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Retail Shop,,2778.0,,30.0,2026-01-15,,,High
447,Profit Margin,budjet help,Track income and expenses. Separate business and personal money.,Trader,,2500.0,,30.0,,MTN,Accra,Low
448,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Boutique,8718.0,,0.0,0.0,2026-01-15,,Tamale,High
449,Budgeting,Susu advice,,Food Vendor,5000.0,17608.0,-500.0,-10.0,2026-01-05,,Sunyani,
450,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,General,,9855.0,-500.0,,2026-01-05,Telecel,Cape Coast,
451,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,,9214.0,,30.0,2026-01-05,,Ho,High
452,Mobile Money Fraud,proffit margin,Profit Margin=(Profit/Revenue)*100,General,26425.0,,0.0,0.0,2026-01-05,Telecel,Accra,High
453,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Trader,19306.0,2500.0,16806.0,30.0,2026-01-13,AirtelTigo,Wa,Low
454,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,Retail Shop,24809.0,2500.0,-500.0,30.0,2026-01-05,AirtelTigo,Ho,Low
455,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,,300.0,30.0,2026-01-15,AirtelTigo,,High
456,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Farmer,14790.0,2000.0,300.0,30.0,2026-01-05,MTN,Ho,High
457,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Retail Shop,,,0.0,,2026-01-15,Telecel,Kumasi,Low
458,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Bakery,,16406.0,300.0,25.0,,Telecel,Takoradi,Medium
459,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Boutique,,2000.0,300.0,,2026-01-15,AirtelTigo,Takoradi,High
460,Profit Margin,Daily savings,Save 10-30% of profits and keep emergency funds.,Food Vendor,5000.0,2500.0,-500.0,-10.0,2026-01-13,,Bolgatanga,Medium
461,Savings,Margin example,Profit Margin=(Profit/Revenue)*100,Food Vendor,,,,30.0,2026-01-13,Telecel,,Low
462,Profit Margin,proffit margin,,Restaurant,,2000.0,,30.0,2026-01-15,,,High
463,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,Retail Shop,3167.0,,-500.0,30.0,,MTN,Takoradi,Low
464,Profit Margin,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,General,25275.0,2000.0,-500.0,-2.0,2026-01-05,Telecel,Sunyani,High
465,Savings,Margin example,Profit Margin=(Profit/Revenue)*100,Restaurant,,,-500.0,,2026-01-05,MTN,Wa,
466,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,General,9448.0,12452.0,-3004.0,-31.8,2026-01-05,MTN,Sunyani,
467,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Salon,,2000.0,,25.0,2026-01-05,,Takoradi,
468,Profit Margin,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,5000.0,,300.0,30.0,2026-01-15,MTN,Sunyani,High
469,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Farmer,,10524.0,,,2026-01-05,Telecel,Takoradi,Medium
470,Savings,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Trader,,,300.0,30.0,,,Cape Coast,Low
471,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Pharmacy,5000.0,15922.0,-10922.0,30.0,2026-01-05,,Wa,High
472,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Boutique,7421.0,2500.0,4921.0,25.0,2026-01-05,AirtelTigo,Wa,Medium
473,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,Farmer,,,,,2026-01-05,MTN,Cape Coast,
474,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Restaurant,,,-500.0,25.0,,MTN,Ho,Low
475,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Trader,5313.0,2000.0,0.0,30.0,,,Accra,High
476,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Trader,16641.0,2500.0,14141.0,85.0,2026-01-05,Telecel,Kumasi,High
477,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,16037.0,4884.0,11153.0,69.5,2026-01-13,,Wa,Low
478,Mobile Money Fraud,Susu advice,,Retail Shop,5000.0,5357.0,300.0,6.0,2026-01-05,,Wa,High
479,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Farmer,5000.0,,300.0,30.0,2026-01-05,MTN,,Low
480,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Bakery,5000.0,2500.0,2500.0,25.0,,AirtelTigo,,High
481,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,Boutique,20927.0,2000.0,-500.0,30.0,2026-01-15,MTN,Tamale,Low
482,Savings,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Retail Shop,8396.0,,300.0,25.0,2026-01-05,,Kumasi,High
483,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,General,,9431.0,,,2026-01-15,,Tamale,High
484,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Farmer,,2500.0,0.0,30.0,2026-01-05,AirtelTigo,Ho,Medium
485,Savings,Emergency fund,Save 10-30% of profits and keep emergency funds.,Boutique,,,0.0,,2026-01-05,Telecel,Accra,Low
486,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Food Vendor,,,,,,Telecel,Kumasi,Low
487,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Restaurant,,,300.0,30.0,2026-01-05,,Wa,High
488,Savings,Susu advice,Save 10-30% of profits and keep emergency funds.,Pharmacy,,2000.0,,30.0,2026-01-15,Telecel,Wa,High
489,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Restaurant,1530.0,2000.0,-470.0,30.0,2026-01-05,AirtelTigo,Kumasi,High
490,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Boutique,5000.0,,-500.0,-10.0,2026-01-05,MTN,Tamale,High
491,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,24429.0,-19429.0,25.0,2026-01-15,Telecel,Ho,High
492,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,General,,16335.0,300.0,30.0,2026-01-05,MTN,,
493,Mobile Money Fraud,Profit formula?,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,,,,2026-01-05,Telecel,Tamale,High
494,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,2500.0,-500.0,30.0,2026-01-05,,Sunyani,Low
495,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Salon,,22643.0,-500.0,,2026-01-13,,Sunyani,High
496,Savings,Budget tips,Track income and expenses. Separate business and personal money.,Retail Shop,5000.0,8390.0,-3390.0,-67.8,2026-01-05,,Bolgatanga,
497,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Farmer,,,,,2026-01-05,Telecel,Ho,Low
498,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,General,5000.0,22731.0,-17731.0,30.0,2026-01-05,Telecel,Ho,Low
499,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,9697.0,300.0,6.0,2026-01-13,,Ho,
500,Profit Margin,budjet help,,Pharmacy,5000.0,,-500.0,-10.0,2026-01-05,Telecel,,Medium
501,Mobile Money Fraud,Calculate profit margin,,Pharmacy,5000.0,,0.0,30.0,,MTN,Wa,
502,Profit Margin,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,5000.0,2000.0,3000.0,25.0,2026-01-13,AirtelTigo,Bolgatanga,Low
503,Budgeting,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Bakery,,,,25.0,2026-01-05,AirtelTigo,Ho,Medium
504,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,2000.0,,25.0,2026-01-05,MTN,Bolgatanga,High
505,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Trader,5000.0,2000.0,0.0,0.0,2026-01-13,Telecel,Wa,High
506,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,,,,2026-01-05,MTN,Cape Coast,
507,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Retail Shop,,2000.0,-500.0,,2026-01-05,MTN,Accra,High
508,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Boutique,5000.0,2000.0,-500.0,25.0,2026-01-13,,Ho,Medium
509,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,2000.0,,30.0,2026-01-05,,Bolgatanga,Low
510,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Bakery,6386.0,2500.0,300.0,30.0,2026-01-13,AirtelTigo,,Medium
511,Savings,How can I save money?,Save 10-30% of profits and keep emergency funds.,Farmer,,2500.0,-500.0,,2026-01-05,AirtelTigo,Ho,High
512,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Salon,,13508.0,,30.0,2026-01-05,,Bolgatanga,Low
513,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Food Vendor,,1800.0,,25.0,2026-01-13,,Cape Coast,Low
514,Profit Margin,budjet help,Track income and expenses. Separate business and personal money.,Farmer,9071.0,2500.0,300.0,30.0,,MTN,,Low
515,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Farmer,5000.0,2000.0,3000.0,60.0,2026-01-05,,Ho,High
516,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,General,,,-500.0,,2026-01-05,Telecel,Takoradi,Low
517,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,General,,2000.0,-500.0,25.0,,Telecel,Ho,Medium
518,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,2219.0,2781.0,30.0,2026-01-15,MTN,Accra,Low
519,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Restaurant,,,-500.0,30.0,2026-01-13,,Bolgatanga,
520,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Boutique,,14776.0,,,2026-01-05,Telecel,Cape Coast,Low
521,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,5000.0,,300.0,6.0,2026-01-05,,Tamale,Medium
522,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Bakery,5000.0,,0.0,25.0,2026-01-05,,Cape Coast,High
523,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Restaurant,5000.0,4252.0,748.0,15.0,2026-01-13,Telecel,Takoradi,High
524,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Trader,12766.0,2500.0,10266.0,80.4,2026-01-05,MTN,,High
525,Mobile Money Fraud,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Trader,,4345.0,-500.0,30.0,,,Bolgatanga,Low
526,Savings,Monthly budget template,Track income and expenses. Separate business and personal money.,Retail Shop,6832.0,8141.0,-1309.0,-19.2,2026-01-05,Telecel,Wa,High
527,Budgeting,proffit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,,,,,,MTN,Bolgatanga,Low
528,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Restaurant,5000.0,,,30.0,2026-01-05,AirtelTigo,Sunyani,High
529,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,2671.0,2329.0,46.6,2026-01-13,MTN,Wa,Low
530,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Farmer,5000.0,2000.0,3000.0,60.0,2026-01-05,,Ho,High
531,Mobile Money Fraud,Wrong transfer,,General,5000.0,,,30.0,2026-01-05,,Takoradi,Low
532,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Bakery,11743.0,,,,2026-01-13,Telecel,Tamale,High
533,Savings,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,,300.0,6.0,2026-01-05,AirtelTigo,Accra,
534,Savings,Monthly budget template,Track income and expenses. Separate business and personal money.,Food Vendor,,,0.0,,2026-01-05,Telecel,Tamale,Medium
535,Mobile Money Fraud,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Restaurant,5000.0,,,30.0,2026-01-05,,Tamale,High
536,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Restaurant,,2500.0,,30.0,2026-01-05,Telecel,Takoradi,
537,Profit Margin,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,,4502.0,-500.0,,2026-01-15,MTN,Sunyani,High
538,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Trader,,2500.0,300.0,30.0,2026-01-05,AirtelTigo,Kumasi,High
539,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,General,,19488.0,300.0,,2026-01-13,Telecel,Ho,High
540,Savings,Monthly budget template,Track income and expenses. Separate business and personal money.,Trader,,2500.0,-500.0,30.0,2026-01-05,MTN,Bolgatanga,High
541,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,2500.0,-500.0,30.0,2026-01-05,Telecel,Takoradi,Medium
542,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Restaurant,,,0.0,30.0,2026-01-05,Telecel,Wa,Low
543,Mobile Money Fraud,How can I save money?,Save 10-30% of profits and keep emergency funds.,Restaurant,5000.0,2000.0,3000.0,60.0,,AirtelTigo,Wa,Low
544,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Salon,12674.0,2500.0,10174.0,80.3,2026-01-05,AirtelTigo,Tamale,High
545,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Bakery,28142.0,,,30.0,2026-01-05,MTN,,Low
546,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,,0.0,25.0,2026-01-05,Telecel,Sunyani,
547,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Bakery,24142.0,,,,2026-01-05,,Sunyani,High
548,Savings,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Trader,2423.0,15535.0,-13112.0,-541.1,2026-01-15,Telecel,Wa,Low
549,Savings,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Restaurant,,,300.0,,2026-01-05,Telecel,Sunyani,Low
550,Savings,Monthly budget template,Track income and expenses. Separate business and personal money.,Bakery,22798.0,,-500.0,-2.2,2026-01-15,Telecel,Kumasi,High
551,Mobile Money Fraud,How to reduce expenses?,,Food Vendor,,2500.0,,30.0,2026-01-05,MTN,Accra,High
552,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,8701.0,-500.0,-10.0,2026-01-05,,Tamale,Low
553,Mobile Money Fraud,Wrong transfer,,Restaurant,5000.0,2500.0,-500.0,30.0,2026-01-05,MTN,Bolgatanga,Medium
554,Mobile Money Fraud,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Salon,5442.0,2500.0,2942.0,25.0,2026-01-15,MTN,Cape Coast,Low
555,Savings,save tips,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,8457.0,-3457.0,25.0,2026-01-05,MTN,,Medium
556,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Bakery,,21508.0,,,2026-01-05,Telecel,Cape Coast,
557,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,Pharmacy,,2000.0,-500.0,30.0,2026-01-05,,Ho,High
558,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Farmer,28653.0,2500.0,0.0,0.0,2026-01-13,MTN,Tamale,Medium
559,Savings,proffit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,,2500.0,300.0,,2026-01-05,AirtelTigo,Takoradi,Low
560,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Boutique,,2000.0,0.0,25.0,2026-01-13,Telecel,Bolgatanga,
561,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,2059.0,2593.0,-534.0,-25.9,2026-01-05,AirtelTigo,Bolgatanga,High
562,Savings,Profit formula?,Profit Margin=(Profit/Revenue)*100,Trader,5000.0,2000.0,-500.0,30.0,2026-01-05,,Sunyani,Low
563,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,5000.0,11323.0,0.0,30.0,2026-01-05,MTN,Tamale,Low
564,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,Boutique,28398.0,2500.0,25898.0,25.0,2026-01-05,Telecel,Accra,High
565,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Bakery,5000.0,22593.0,-17593.0,30.0,2026-01-15,Telecel,,
566,Savings,Profit formula?,Profit Margin=(Profit/Revenue)*100,General,,,,,2026-01-05,Telecel,Accra,
567,Profit Margin,Margin example,Profit Margin=(Profit/Revenue)*100,Pharmacy,5000.0,,300.0,6.0,2026-01-15,AirtelTigo,Tamale,Low
568,Profit Margin,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Trader,,,300.0,,2026-01-05,MTN,Tamale,Medium
569,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Retail Shop,,2000.0,,30.0,2026-01-05,Telecel,Bolgatanga,
570,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,General,12114.0,,,30.0,,Telecel,Sunyani,Low
571,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Retail Shop,,,0.0,30.0,2026-01-05,MTN,Wa,Low
572,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,25829.0,,,30.0,2026-01-15,MTN,Bolgatanga,High
573,Savings,Emergency fund,Save 10-30% of profits and keep emergency funds.,Boutique,,,0.0,30.0,2026-01-05,Telecel,Cape Coast,Medium
574,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,General,,,,25.0,2026-01-15,Telecel,Accra,
575,Profit Margin,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,2500.0,,,2026-01-13,,Wa,Low
576,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Boutique,5000.0,2500.0,300.0,6.0,2026-01-05,,Tamale,High
577,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Farmer,5000.0,2500.0,0.0,30.0,2026-01-05,MTN,Cape Coast,Medium
578,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,Restaurant,5000.0,2500.0,300.0,6.0,2026-01-05,,Wa,Medium
579,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,Food Vendor,27950.0,2500.0,-500.0,30.0,2026-01-13,,Bolgatanga,Low
